weight_t,weight_value,airflow_t,airflow_value
103.7061111,309.6245728,142.305,187.1304474
103.7144444,308.9951477,142.555,188.1675873
104.3741667,309.3670959,142.805,188.7278748
104.6922222,309.5530701,143.055,183.8640594
104.8991667,309.6531982,143.305,189.8007813
105.1047222,309.4243164,143.5547222,186.2244415
105.3475,309.4958496,143.8047222,188.1437378
105.4475,309.2669678,144.0547222,186.9397125
105.5808333,309.5673523,144.3047222,190.0272827
106.0308333,309.4672241,144.8047222,186.5939941
106.2169444,309.6531982,145.0547222,188.0126038
106.5444444,309.4958496,145.3044444,187.368866
106.9583333,310.0394287,145.5544444,188.0006714
107.3513889,307.2070313,145.8044444,182.6719513
107.6416667,308.8807068,146.3044444,189.085495
107.675,309.3956909,146.5541667,185.8549042
107.7388889,308.5946045,146.8041667,188.0006714
108.2691667,310.3112183,147.0541667,187.2496643
108.415,309.4243164,147.3041667,186.450943
108.4525,309.8820801,147.5541667,189.4312286
108.9733333,310.1538696,147.8041667,188.3583221
109.1497222,309.0523682,148.0541667,187.6430511
109.1691667,309.5673523,148.5538889,186.2125244
109.2983333,309.3956909,148.8038889,188.8709259
109.6719444,309.0953064,149.0538889,190.516037
109.6802778,310.1824951,149.5538889,185.151535
109.9011111,310.025116,149.8038889,189.7411804
110.2730556,309.8820801,150.3036111,187.4403992
110.6258333,310.1538696,150.5536111,188.6921082
110.78,310.0394287,151.0536111,187.7980194
110.8522222,310.0823364,151.3036111,187.1066132
110.9744444,310.0680542,151.5533333,186.2840576
111.5022222,310.325531,151.8033333,188.7159424
111.6394444,310.3684387,152.0533333,187.1185303
111.72,309.1239014,152.5533333,190.1703339
112.3394444,309.7676392,152.8033333,188.549057
112.4505556,309.8677673,153.0533333,188.3583221
113.1158333,310.7832947,153.3030556,189.0735779
113.3822222,310.9407043,153.5530556,189.4073944
113.8225,311.4985657,153.8030556,186.5701599
113.8919444,310.4829407,154.3030556,187.2019806
113.9308333,311.4842834,154.5527778,189.4193115
114.1669444,311.7417908,155.0527778,188.0006714
114.1933333,307.3643799,155.3027778,191.6246948
114.2238889,311.9563904,155.8027778,187.631134
114.6472222,311.6845703,156.0527778,188.6444244
114.8277778,311.9563904,156.3025,186.9277954
114.9347222,311.7417908,156.5525,187.8099365
115.4611111,311.6845703,156.8025,188.7159424
